,County,State,CBSA Code,CBSA Title
70,Bell County,Texas,28660,"Killeen-Temple, TX"
71,Belmont County,Ohio,48540,"Wheeling, WV-OH"
72,Benton County,Oregon,18700,"Corvallis, OR"
73,Benton County,Washington,28420,"Kennewick-Richland, WA"
74,Benton County,Arkansas,22220,"Fayetteville-Springdale-Rogers, AR-MO"
75,Benton County,Indiana,29200,"Lafayette-West Lafayette, IN"
76,Benton County,Minnesota,41060,"St. Cloud, MN"
77,Benton County,Mississippi,32820,"Memphis, TN-MS-AR"
78,Benton County,Iowa,16300,"Cedar Rapids, IA"
79,Bergen County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
80,Berkeley County,West Virginia,25180,"Hagerstown-Martinsburg, MD-WV"
81,Berkeley County,South Carolina,16700,"Charleston-North Charleston, SC"
82,Berks County,Pennsylvania,39740,"Reading, PA"
83,Berkshire County,Massachusetts,38340,"Pittsfield, MA"
84,Bernalillo County,New Mexico,10740,"Albuquerque, NM"
85,Berrien County,Michigan,35660,"Niles-Benton Harbor, MI"
86,Bexar County,Texas,41700,"San Antonio-New Braunfels, TX"
87,Bibb County,Alabama,13820,"Birmingham-Hoover, AL"
88,Bibb County,Georgia,31420,"Macon-Bibb County, GA"
89,Black Hawk County,Iowa,47940,"Waterloo-Cedar Falls, IA"
90,Blair County,Pennsylvania,11020,"Altoona, PA"
91,Blount County,Alabama,13820,"Birmingham-Hoover, AL"
92,Blount County,Tennessee,28940,"Knoxville, TN"
93,Blue Earth County,Minnesota,31860,"Mankato-North Mankato, MN"
94,Boise County,Idaho,14260,"Boise City, ID"
95,Bollinger County,Missouri,16020,"Cape Girardeau, MO-IL"
96,Bond County,Illinois,41180,"St. Louis, MO-IL"
97,Bonneville County,Idaho,26820,"Idaho Falls, ID"
98,Boone County,West Virginia,16620,"Charleston, WV"
99,Boone County,Illinois,40420,"Rockford, IL"
100,Boone County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
101,Boone County,Kentucky,17140,"Cincinnati, OH-KY-IN"
102,Boone County,Missouri,17860,"Columbia, MO"
103,Bossier Parish,Louisiana,43340,"Shreveport-Bossier City, LA"
104,Botetourt County,Virginia,40220,"Roanoke, VA"
105,Boulder County,Colorado,14500,"Boulder, CO"
106,Bourbon County,Kentucky,30460,"Lexington-Fayette, KY"
107,Bowie County,Texas,45500,"Texarkana, TX-AR"
108,Box Elder County,Utah,36260,"Ogden-Clearfield, UT"
109,Boyd County,Kentucky,26580,"Huntington-Ashland, WV-KY-OH"
110,Bracken County,Kentucky,17140,"Cincinnati, OH-KY-IN"
111,Bradley County,Tennessee,17420,"Cleveland, TN"
112,Brantley County,Georgia,15260,"Brunswick, GA"
113,Brazoria County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
114,Brazos County,Texas,17780,"College Station-Bryan, TX"
115,Bremer County,Iowa,47940,"Waterloo-Cedar Falls, IA"
116,Brevard County,Florida,37340,"Palm Bay-Melbourne-Titusville, FL"
117,Bristol city,Virginia,28700,"Kingsport-Bristol-Bristol, TN-VA"
118,Bristol County,Rhode Island,39300,"Providence-Warwick, RI-MA"
119,Bristol County,Massachusetts,39300,"Providence-Warwick, RI-MA"
120,Bronx County,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
121,Brooke County,West Virginia,48260,"Weirton-Steubenville, WV-OH"
122,Brooks County,Georgia,46660,"Valdosta, GA"
123,Broome County,New York,13780,"Binghamton, NY"
124,Broomfield County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
125,Broward County,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
126,Brown County,Wisconsin,24580,"Green Bay, WI"
127,Brown County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
128,Brown County,Ohio,17140,"Cincinnati, OH-KY-IN"
129,Brunswick County,North Carolina,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
130,Bryan County,Georgia,42340,"Savannah, GA"
131,Buchanan County,Missouri,41140,"St. Joseph, MO-KS"
132,Buckingham County,Virginia,16820,"Charlottesville, VA"
133,Bucks County,Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
134,Bullitt County,Kentucky,31140,"Louisville/Jefferson County, KY-IN"
135,Buncombe County,North Carolina,11700,"Asheville, NC"
136,Burke County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC"
137,Burke County,Georgia,12260,"Augusta-Richmond County, GA-SC"
138,Burleigh County,North Dakota,13900,"Bismarck, ND"
139,Burleson County,Texas,17780,"College Station-Bryan, TX"
140,Burlington County,New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
141,Butler County,Kansas,48620,"Wichita, KS"
142,Butler County,Ohio,17140,"Cincinnati, OH-KY-IN"
143,Butler County,Pennsylvania,38300,"Pittsburgh, PA"
144,Butler County,Kentucky,14540,"Bowling Green, KY"
145,Butte County,California,17020,"Chico, CA"
146,Butte County,Idaho,26820,"Idaho Falls, ID"
147,Butts County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
148,Cabarrus County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
149,Cabell County,West Virginia,26580,"Huntington-Ashland, WV-KY-OH"
150,Cabo Rojo Municipio,Puerto Rico,41900,"San Germán, PR"
151,Cache County,Utah,30860,"Logan, UT-ID"
152,Caddo Parish,Louisiana,43340,"Shreveport-Bossier City, LA"
153,Caguas Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
154,Calcasieu Parish,Louisiana,29340,"Lake Charles, LA"
155,Caldwell County,Missouri,28140,"Kansas City, MO-KS"
156,Caldwell County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC"
157,Caldwell County,Texas,12420,"Austin-Round Rock, TX"
158,Calhoun County,Illinois,41180,"St. Louis, MO-IL"
159,Calhoun County,Alabama,11500,"Anniston-Oxford-Jacksonville, AL"
160,Calhoun County,South Carolina,17900,"Columbia, SC"
161,Calhoun County,Michigan,12980,"Battle Creek, MI"
162,Callahan County,Texas,10180,"Abilene, TX"
163,Callaway County,Missouri,27620,"Jefferson City, MO"
164,Calumet County,Wisconsin,11540,"Appleton, WI"
165,Calvert County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
166,Cambria County,Pennsylvania,27780,"Johnstown, PA"
167,Camden County,New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
168,Cameron County,Texas,15180,"Brownsville-Harlingen, TX"
169,Cameron Parish,Louisiana,29340,"Lake Charles, LA"
170,Campbell County,Tennessee,28940,"Knoxville, TN"
171,Campbell County,Virginia,31340,"Lynchburg, VA"
172,Campbell County,Kentucky,17140,"Cincinnati, OH-KY-IN"
173,Camuy Municipio,Puerto Rico,11640,"Arecibo, PR"
174,Canadian County,Oklahoma,36420,"Oklahoma City, OK"
175,Cannon County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
176,Canóvanas Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
177,Canyon County,Idaho,14260,"Boise City, ID"
178,Cape Girardeau County,Missouri,16020,"Cape Girardeau, MO-IL"
179,Cape May County,New Jersey,36140,"Ocean City, NJ"
180,Carbon County,Montana,13740,"Billings, MT"
181,Carbon County,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ"
182,Carlton County,Minnesota,20260,"Duluth, MN-WI"
183,Carolina Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
184,Caroline County,Virginia,40060,"Richmond, VA"
185,Carroll County,Maryland,12580,"Baltimore-Columbia-Towson, MD"
186,Carroll County,Indiana,29200,"Lafayette-West Lafayette, IN"
187,Carroll County,Ohio,15940,"Canton-Massillon, OH"
188,Carroll County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
189,Carson City,Nevada,16180,"Carson City, NV"
190,Carson County,Texas,11100,"Amarillo, TX"
191,Carter County,Tennessee,27740,"Johnson City, TN"
192,Carver County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
193,Cascade County,Montana,24500,"Great Falls, MT"
194,Cass County,North Dakota,22020,"Fargo, ND-MN"
195,Cass County,Nebraska,36540,"Omaha-Council Bluffs, NE-IA"
196,Cass County,Michigan,43780,"South Bend-Mishawaka, IN-MI"
197,Cass County,Missouri,28140,"Kansas City, MO-KS"
198,Cataño Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
199,Catawba County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC"
200,Catoosa County,Georgia,16860,"Chattanooga, TN-GA"
201,Cayey Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
202,Cecil County,Maryland,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
203,Ceiba Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
204,Centre County,Pennsylvania,44300,"State College, PA"
205,Chambers County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
206,Champaign County,Illinois,16580,"Champaign-Urbana, IL"
207,Charles City County,Virginia,40060,"Richmond, VA"
208,Charles County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
209,Charleston County,South Carolina,16700,"Charleston-North Charleston, SC"
210,Charlotte County,Florida,39460,"Punta Gorda, FL"
211,Charlottesville city,Virginia,16820,"Charlottesville, VA"
212,Chatham County,North Carolina,20500,"Durham-Chapel Hill, NC"
213,Chatham County,Georgia,42340,"Savannah, GA"
214,Chattahoochee County,Georgia,17980,"Columbus, GA-AL"
215,Cheatham County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
216,Chelan County,Washington,48300,"Wenatchee, WA"
217,Chemung County,New York,21300,"Elmira, NY"
218,Cherokee County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
219,Chesapeake city,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
220,Chester County,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
221,Chester County,Tennessee,27180,"Jackson, TN"
222,Chester County,Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
223,Chesterfield County,Virginia,40060,"Richmond, VA"
224,Chilton County,Alabama,13820,"Birmingham-Hoover, AL"
225,Chippewa County,Wisconsin,20740,"Eau Claire, WI"
226,Chisago County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
227,Chittenden County,Vermont,15540,"Burlington-South Burlington, VT"
228,Christian County,Missouri,44180,"Springfield, MO"
229,Christian County,Kentucky,17300,"Clarksville, TN-KY"
230,Ciales Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
231,Cidra Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
232,Citrus County,Florida,26140,"Homosassa Springs, FL"
233,Clackamas County,Oregon,38900,"Portland-Vancouver-Hillsboro, OR-WA"
234,Clark County,Nevada,29820,"Las Vegas-Henderson-Paradise, NV"
235,Clark County,Washington,38900,"Portland-Vancouver-Hillsboro, OR-WA"
236,Clark County,Indiana,31140,"Louisville/Jefferson County, KY-IN"
237,Clark County,Ohio,44220,"Springfield, OH"
238,Clark County,Kentucky,30460,"Lexington-Fayette, KY"
239,Clarke County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
240,Clarke County,Georgia,12020,"Athens-Clarke County, GA"
241,Clay County,West Virginia,16620,"Charleston, WV"
242,Clay County,Florida,27260,"Jacksonville, FL"
243,Clay County,Indiana,45460,"Terre Haute, IN"
244,Clay County,Minnesota,22020,"Fargo, ND-MN"
245,Clay County,Missouri,28140,"Kansas City, MO-KS"
246,Clay County,Texas,48660,"Wichita Falls, TX"
247,Clayton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
248,Clear Creek County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
249,Clermont County,Ohio,17140,"Cincinnati, OH-KY-IN"
250,Cleveland County,Arkansas,38220,"Pine Bluff, AR"
251,Cleveland County,Oklahoma,36420,"Oklahoma City, OK"
252,Clinton County,Illinois,41180,"St. Louis, MO-IL"
253,Clinton County,Michigan,29620,"Lansing-East Lansing, MI"
254,Clinton County,Missouri,28140,"Kansas City, MO-KS"
255,Cobb County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
256,Cochise County,Arizona,43420,"Sierra Vista-Douglas, AZ"
257,Coconino County,Arizona,22380,"Flagstaff, AZ"
258,Colbert County,Alabama,22520,"Florence-Muscle Shoals, AL"
259,Cole County,Missouri,27620,"Jefferson City, MO"
260,Collier County,Florida,34940,"Naples-Immokalee-Marco Island, FL"
261,Collin County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
262,Colonial Heights city,Virginia,40060,"Richmond, VA"
263,Columbia County,Oregon,38900,"Portland-Vancouver-Hillsboro, OR-WA"
264,Columbia County,Washington,47460,"Walla Walla, WA"
265,Columbia County,Wisconsin,31540,"Madison, WI"
266,Columbia County,Pennsylvania,14100,"Bloomsburg-Berwick, PA"
267,Columbia County,Georgia,12260,"Augusta-Richmond County, GA-SC"
268,Comal County,Texas,41700,"San Antonio-New Braunfels, TX"
269,Comanche County,Oklahoma,30020,"Lawton, OK"
270,Comerío Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
271,Contra Costa County,California,41860,"San Francisco-Oakland-Hayward, CA"
272,Cook County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
273,Copiah County,Mississippi,27140,"Jackson, MS"
274,Corozal Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
275,Coryell County,Texas,28660,"Killeen-Temple, TX"
276,Cotton County,Oklahoma,30020,"Lawton, OK"
277,Coweta County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
278,Cowlitz County,Washington,31020,"Longview, WA"
279,Craig County,Virginia,40220,"Roanoke, VA"
280,Craighead County,Arkansas,27860,"Jonesboro, AR"
281,Craven County,North Carolina,35100,"New Bern, NC"
282,Crawford County,Arkansas,22900,"Fort Smith, AR-OK"
283,Crawford County,Georgia,31420,"Macon-Bibb County, GA"
284,Creek County,Oklahoma,46140,"Tulsa, OK"
285,Crittenden County,Arkansas,32820,"Memphis, TN-MS-AR"
286,Crockett County,Tennessee,27180,"Jackson, TN"
287,Crosby County,Texas,31180,"Lubbock, TX"
288,Culpeper County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
289,Cumberland County,Maine,38860,"Portland-South Portland, ME"
290,Cumberland County,New Jersey,47220,"Vineland-Bridgeton, NJ"
291,Cumberland County,Pennsylvania,25420,"Harrisburg-Carlisle, PA"
292,Cumberland County,North Carolina,22180,"Fayetteville, NC"
293,Currituck County,North Carolina,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
294,Custer County,South Dakota,39660,"Rapid City, SD"
295,Cuyahoga County,Ohio,17460,"Cleveland-Elyria, OH"
296,Dade County,Georgia,16860,"Chattanooga, TN-GA"
297,Dakota County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
298,Dakota County,Nebraska,43580,"Sioux City, IA-NE-SD"
299,Dallas County,Iowa,19780,"Des Moines-West Des Moines, IA"
300,Dallas County,Missouri,44180,"Springfield, MO"
301,Dallas County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
302,Dane County,Wisconsin,31540,"Madison, WI"
303,Darlington County,South Carolina,22500,"Florence, SC"
304,Dauphin County,Pennsylvania,25420,"Harrisburg-Carlisle, PA"
305,Davidson County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
306,Davidson County,North Carolina,49180,"Winston-Salem, NC"
307,Davie County,North Carolina,49180,"Winston-Salem, NC"
308,Daviess County,Kentucky,36980,"Owensboro, KY"
309,Davis County,Utah,36260,"Ogden-Clearfield, UT"
310,Dawson County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
311,De Soto Parish,Louisiana,43340,"Shreveport-Bossier City, LA"
312,De Witt County,Illinois,14010,"Bloomington, IL"
313,Dearborn County,Indiana,17140,"Cincinnati, OH-KY-IN"
314,DeKalb County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
315,DeKalb County,Missouri,41140,"St. Joseph, MO-KS"
316,DeKalb County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
317,Delaware County,Indiana,34620,"Muncie, IN"
318,Delaware County,Ohio,18140,"Columbus, OH"
319,Delaware County,Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
320,Denton County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
321,Denver County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
322,Deschutes County,Oregon,13460,"Bend-Redmond, OR"
323,DeSoto County,Mississippi,32820,"Memphis, TN-MS-AR"
324,Dickson County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
325,Dinwiddie County,Virginia,40060,"Richmond, VA"
326,District of Columbia,District of Columbia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
327,Dixon County,Nebraska,43580,"Sioux City, IA-NE-SD"
328,Dodge County,Minnesota,40340,"Rochester, MN"
329,Doña Ana County,New Mexico,29740,"Las Cruces, NM"
330,Doniphan County,Kansas,41140,"St. Joseph, MO-KS"
331,Dorado Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
332,Dorchester County,South Carolina,16700,"Charleston-North Charleston, SC"
333,Dougherty County,Georgia,10500,"Albany, GA"
334,Douglas County,Washington,48300,"Wenatchee, WA"
335,Douglas County,Wisconsin,20260,"Duluth, MN-WI"
336,Douglas County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
337,Douglas County,Kansas,29940,"Lawrence, KS"
338,Douglas County,Nebraska,36540,"Omaha-Council Bluffs, NE-IA"
339,Douglas County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
340,Dubuque County,Iowa,20220,"Dubuque, IA"
341,DuPage County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
342,Durham County,North Carolina,20500,"Durham-Chapel Hill, NC"
343,Dutchess County,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
344,Duval County,Florida,27260,"Jacksonville, FL"
345,East Baton Rouge Parish,Louisiana,12940,"Baton Rouge, LA"
346,East Feliciana Parish,Louisiana,12940,"Baton Rouge, LA"
347,Eaton County,Michigan,29620,"Lansing-East Lansing, MI"
348,Eau Claire County,Wisconsin,20740,"Eau Claire, WI"
349,Echols County,Georgia,46660,"Valdosta, GA"
350,Ector County,Texas,36220,"Odessa, TX"
351,Edgecombe County,North Carolina,40580,"Rocky Mount, NC"
352,Edgefield County,South Carolina,12260,"Augusta-Richmond County, GA-SC"
353,Edmonson County,Kentucky,14540,"Bowling Green, KY"
354,Effingham County,Georgia,42340,"Savannah, GA"
355,El Dorado County,California,40900,"Sacramento--Roseville--Arden-Arcade, CA"
356,El Paso County,Colorado,17820,"Colorado Springs, CO"
357,El Paso County,Texas,21340,"El Paso, TX"
358,Elbert County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
359,Elkhart County,Indiana,21140,"Elkhart-Goshen, IN"
360,Ellis County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
361,Elmore County,Alabama,33860,"Montgomery, AL"
362,Erie County,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
363,Erie County,Pennsylvania,21500,"Erie, PA"
364,Escambia County,Florida,37860,"Pensacola-Ferry Pass-Brent, FL"
365,Essex County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
366,Essex County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
367,Etowah County,Alabama,23460,"Gadsden, AL"
368,Fairbanks North Star Borough,Alaska,21820,"Fairbanks, AK"
369,Fairfax city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
370,Fairfax County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
371,Fairfield County,Connecticut,14860,"Bridgeport-Stamford-Norwalk, CT"
372,Fairfield County,South Carolina,17900,"Columbia, SC"
373,Fairfield County,Ohio,18140,"Columbus, OH"
374,Fajardo Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
375,Falls Church city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
376,Falls County,Texas,47380,"Waco, TX"
377,Faulkner County,Arkansas,30780,"Little Rock-North Little Rock-Conway, AR"
378,Fauquier County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
379,Fayette County,West Virginia,13220,"Beckley, WV"
380,Fayette County,Tennessee,32820,"Memphis, TN-MS-AR"
381,Fayette County,Pennsylvania,38300,"Pittsburgh, PA"
382,Fayette County,Kentucky,30460,"Lexington-Fayette, KY"
383,Fayette County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
384,Fillmore County,Minnesota,40340,"Rochester, MN"
385,Flagler County,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
386,Florence County,South Carolina,22500,"Florence, SC"
387,Florida Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
388,Floyd County,Indiana,31140,"Louisville/Jefferson County, KY-IN"
389,Floyd County,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA"
390,Floyd County,Georgia,40660,"Rome, GA"
391,Fluvanna County,Virginia,16820,"Charlottesville, VA"
392,Fond du Lac County,Wisconsin,22540,"Fond du Lac, WI"
393,Ford County,Illinois,16580,"Champaign-Urbana, IL"
394,Forrest County,Mississippi,25620,"Hattiesburg, MS"
395,Forsyth County,North Carolina,49180,"Winston-Salem, NC"
396,Forsyth County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
397,Fort Bend County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
398,Franklin County,Vermont,15540,"Burlington-South Burlington, VT"
399,Franklin County,Washington,28420,"Kennewick-Richland, WA"
400,Franklin County,Idaho,30860,"Logan, UT-ID"
401,Franklin County,Ohio,18140,"Columbus, OH"
402,Franklin County,Pennsylvania,16540,"Chambersburg-Waynesboro, PA"
403,Franklin County,Virginia,40220,"Roanoke, VA"
404,Franklin County,North Carolina,39580,"Raleigh, NC"
405,Franklin County,Missouri,41180,"St. Louis, MO-IL"
406,Frederick County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
407,Frederick County,Virginia,49020,"Winchester, VA-WV"
408,Fredericksburg city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
409,Fresno County,California,23420,"Fresno, CA"
410,Fulton County,Ohio,45780,"Toledo, OH"
411,Fulton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
412,Gadsden County,Florida,45220,"Tallahassee, FL"
413,Gallatin County,Kentucky,17140,"Cincinnati, OH-KY-IN"
414,Galveston County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
415,Garfield County,Oklahoma,21420,"Enid, OK"
416,Garland County,Arkansas,26300,"Hot Springs, AR"
417,Gaston County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
